track_name,bpm,onset_rate,onset_strength_mean,onset_strength_std,zcr_mean,zcr_std,spec_cent_mean,spec_cent_std,spec_contrast_mean,spec_contrast_std,spec_rolloff_mean,spec_rolloff_std,spec_bandwidth_mean,spec_bandwidth_std,spectral_flatness_mean,spectral_flatness_std,tonnetz_mean_1,tonnetz_std_1,tonnetz_mean_2,tonnetz_std_2,tonnetz_mean_3,tonnetz_std_3,tonnetz_mean_4,tonnetz_std_4,tonnetz_mean_5,tonnetz_std_5,tonnetz_mean_6,tonnetz_std_6,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13
c3_7_ldl.wav,120.185,1301.810,1.241,1.252,0.046,0.020,2792.597,886.422,16.618,6.282,6516.536,2696.791,3784.696,730.568,0.003605,0.004597,0.070,0.054,0.017,0.040,-0.008,0.066,0.049,0.051,0.018,0.022,0.025,0.024,0.815,0.740,0.602,0.558,0.631,0.553,0.559,0.898,0.771,1.000,0.789,0.629,144.682,25.624,-4.767,21.411,36.390,13.781,-15.062,10.900,24.856,12.054,-13.357,8.929,17.391,9.469,-7.773,9.112,11.614,7.816,-5.972,7.007,8.313,7.471,2.200,7.983
x_3_ame.wav,126.048,1279.585,1.627,2.508,0.042,0.030,2440.104,1069.690,16.494,6.556,5144.669,2104.094,3044.056,683.649,0.002279,0.003250,0.022,0.038,0.039,0.031,-0.014,0.054,-0.032,0.048,0.009,0.033,0.014,0.022,0.670,0.651,0.776,0.974,0.559,0.480,0.423,0.562,0.742,0.792,1.000,0.555,140.826,33.062,-23.007,20.751,48.869,23.406,-12.273,17.313,10.106,10.196,18.209,11.908,5.730,11.067,11.679,10.754,8.045,9.138,0.987,7.596,7.432,6.432,3.284,7.201
c6_2_bfr.wav,129.199,1353.504,1.268,1.385,0.041,0.027,2522.119,926.712,16.236,5.799,5377.534,2125.103,3359.908,673.047,0.004444,0.006989,-0.031,0.031,0.011,0.054,-0.095,0.053,-0.034,0.052,0.026,0.021,0.001,0.026,0.637,0.762,0.546,0.522,0.613,0.758,0.693,0.555,0.628,0.854,1.000,0.543,146.176,27.519,-25.418,14.970,37.999,14.862,-2.707,10.906,20.852,9.708,-1.565,9.931,17.802,9.429,4.306,7.953,10.624,6.921,4.910,10.465,6.739,7.256,2.206,7.081
x_1_ldl.wav,123.047,1115.328,1.315,0.954,0.050,0.031,2436.293,845.146,18.647,6.332,4743.496,1988.484,3015.156,606.134,0.002319,0.005624,0.033,0.108,0.012,0.086,0.015,0.127,0.004,0.135,0.011,0.044,0.011,0.047,0.911,0.945,0.972,0.958,0.973,0.655,0.673,0.914,0.908,1.000,0.971,0.834,145.533,30.176,-33.364,29.138,20.866,17.689,-20.537,19.278,10.453,18.070,-19.906,14.307,-5.405,12.374,-4.739,12.532,-6.471,9.650,-15.304,11.705,-4.099,11.789,-1.500,9.600
c11_s3_.wav,123.047,1295.127,1.188,1.347,0.026,0.021,1810.665,1013.538,18.292,7.990,3883.927,2554.461,2770.303,1074.198,0.001674,0.003825,0.010,0.079,0.099,0.067,0.008,0.144,-0.037,0.065,0.010,0.048,-0.029,0.023,0.535,0.418,0.447,0.386,0.457,0.807,0.783,1.000,0.875,0.740,0.902,0.730,166.221,34.541,-6.056,21.548,39.136,14.653,10.273,16.851,16.002,13.061,5.059,9.717,4.124,11.443,6.469,9.594,1.826,7.568,1.058,8.819,11.579,6.804,8.459,7.591
c1_1_ame.wav,126.048,1301.322,1.140,1.113,0.063,0.027,2867.410,557.995,16.319,6.813,5960.447,1096.553,3229.882,349.745,0.003792,0.003785,0.061,0.045,0.030,0.041,-0.013,0.030,-0.027,0.077,-0.012,0.023,0.009,0.022,0.657,0.702,1.000,0.804,0.602,0.476,0.488,0.541,0.569,0.657,0.575,0.522,138.708,15.442,-50.186,11.545,40.904,9.748,-14.199,8.460,27.946,8.869,-2.248,8.381,9.188,7.876,3.632,8.400,12.852,7.522,2.498,6.754,8.307,6.361,7.739,7.158
c3_4_ldl.wav,120.185,1312.260,1.120,0.888,0.060,0.028,2996.175,861.878,16.473,6.319,6545.877,2134.752,3722.838,605.364,0.006681,0.008677,0.039,0.056,0.025,0.060,0.005,0.047,0.045,0.040,0.002,0.018,0.001,0.019,0.832,0.661,0.578,0.676,0.909,0.883,0.711,0.931,0.854,1.000,0.812,0.860,139.292,23.604,-20.640,12.302,34.929,8.721,-13.966,8.624,18.243,9.019,-11.703,7.189,15.389,7.879,-2.296,8.935,7.004,8.132,-5.936,6.475,10.331,6.423,-1.149,6.932
c5_4_bfr.wav,123.047,1247.253,1.254,1.548,0.071,0.049,3686.625,1247.851,15.973,6.490,8182.884,2353.713,4089.672,587.486,0.011704,0.016109,0.063,0.042,0.008,0.048,0.016,0.053,0.005,0.057,0.006,0.022,-0.006,0.017,0.635,0.565,0.778,0.674,0.872,0.714,0.761,1.000,1.000,0.999,0.778,0.706,116.077,27.884,-13.754,13.258,47.013,11.590,-15.152,11.995,28.060,9.678,-9.708,8.717,19.969,7.267,-4.043,7.997,13.339,6.529,3.239,6.214,11.011,5.854,-0.299,6.026
x_1_bfr.wav,123.047,1408.892,1.321,2.221,0.059,0.047,2600.840,1075.793,16.820,7.078,5202.485,2386.346,2994.115,913.388,0.003116,0.007159,-0.012,0.047,-0.014,0.032,-0.020,0.041,0.047,0.061,-0.005,0.017,0.009,0.020,0.931,0.912,0.773,0.783,0.609,0.504,0.495,0.661,1.000,0.966,0.791,0.851,117.812,35.126,-38.619,22.682,33.883,24.959,30.594,37.280,28.077,15.017,-1.223,12.564,22.397,12.056,14.386,11.942,10.602,8.334,7.066,9.339,7.154,7.393,-2.919,8.859
x_s10_.wav,120.185,1347.293,1.451,1.832,0.039,0.035,2267.898,1382.224,18.700,8.423,4869.562,2858.449,2755.607,1068.532,0.002705,0.006731,0.042,0.052,0.064,0.050,0.041,0.073,-0.008,0.044,0.013,0.028,0.007,0.022,0.595,0.527,0.839,0.971,1.000,0.882,0.730,0.861,0.668,0.572,0.547,0.417,156.708,43.346,-26.578,14.359,45.952,23.531,8.661,22.299,24.980,11.604,1.212,11.261,6.649,13.002,1.101,12.129,4.790,12.178,6.168,9.540,9.767,7.312,-3.184,7.818
c3_3_ldl.wav,120.185,1295.555,1.347,1.481,0.058,0.039,3033.171,1150.998,16.481,6.323,6819.917,2635.795,3749.818,678.581,0.007517,0.012173,0.035,0.040,0.005,0.038,0.021,0.046,-0.001,0.043,-0.004,0.016,0.001,0.016,0.776,0.593,0.743,0.753,0.902,0.921,1.000,0.975,0.847,0.830,0.663,0.765,134.423,28.230,-10.086,18.494,42.475,13.206,-18.171,12.317,25.695,9.747,-10.786,9.546,11.837,8.808,-4.734,9.645,8.430,7.784,-1.346,7.730,6.585,6.986,-0.949,7.478
c1_5_ame.wav,126.048,1259.181,1.225,1.519,0.048,0.026,2539.409,959.951,16.057,6.079,5409.217,2210.314,3378.461,691.032,0.004358,0.004774,0.033,0.032,0.021,0.024,0.050,0.028,0.084,0.028,0.002,0.013,0.005,0.011,0.614,0.445,0.697,0.829,1.000,0.608,0.337,0.521,0.539,0.613,0.442,0.544,144.048,24.496,-6.229,14.785,42.497,13.916,-17.849,11.305,11.787,8.505,5.843,9.724,8.464,8.269,0.553,8.305,5.330,7.589,-1.352,7.642,2.833,6.442,-2.659,6.393
